Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3286.2377823214369528	-3301.8473651714998596	15.609582850062816206	0.91603887897294944409	0.535556	0.072029	0.0501299	0.112318	0.0187106	0.00946152	0.0560772	0.22093	0.0103259	0.137931	0.0239758	0.0134144	0.0260769	0.02122	0.505948	0.00693513	0.00742571	0.457568	0.000903748	0.55379285077509565749	0.283038	0.313194	0.129714	0.274054	0.119912	0.449974	0.984564	2.44555	1.2869355087573079999
10	-3290.5911160595974252	-3305.7694045854723299	15.178288525874840786	1.7290219260522026179	0.56509	0.0512626	0.0619975	0.132656	0.0226244	0.00306889	0.076816	0.175659	0.0170812	0.150129	0.0337718	0.0243963	0.0372686	0.00867088	0.591645	0.00522269	0.0106389	0.380573	0.00324948	0.5768938458312635742	0.313292	0.290807	0.147988	0.247913	0.258634	0.622713	1.06145	2.0572	1.3518214232940268804
20	-3292.0045043355835332	-3305.1891328833085026	13.184628547724932091	3.1853016218624956579	0.679759	0.0755079	0.0516449	0.0996938	0.0226244	0.00830408	0.0676078	0.23857	0.011388	0.0970988	0.0442541	0.0437011	0.0216195	0.0228612	0.563187	0.00284276	0.00179401	0.403128	0.00618726	0.56371434502087081064	0.279949	0.293718	0.137485	0.288847	0.403108	0.741298	1.08329	1.7723	1.4617731117646295402
30	-3285.1704321112629259	-3303.4345233980634475	18.264091286800560709	1.2650278953180611463	0.38665	0.0656527	0.0737725	0.100093	0.0230949	0.00948561	0.0524715	0.191948	0.00497671	0.0453467	0.0156572	0.035616	0.0423909	0.025735	0.531724	0.000279937	0.000342783	0.434454	0.00746396	0.55172621633901774985	0.295422	0.288009	0.133968	0.282601	0.18664	0.54412	1.03302	2.23622	1.0471552412614686389
40	-3279.6068234379827118	-3297.618588590312811	18.011765152329871853	1.4829381471120421931	0.439133	0.0529549	0.0418597	0.0759064	0.0211464	0.00402695	0.0607219	0.202801	0.00773631	0.099832	0.0127713	0.0337462	0.0212972	0.0169684	0.483224	0.0018283	0.00138386	0.481169	0.015426	0.53885910225205702062	0.275409	0.29834	0.145688	0.280562	0.222675	0.585692	1.0494	2.14223	1.0739328704879600451
50	-3281.2502046383792731	-3299.2909907625262349	18.040786124147011549	2.0233556348629235799	0.375933	0.0848556	0.0700765	0.0944169	0.0152897	0.00834234	0.038045	0.220546	0.00521078	0.0724479	0.020918	0.0389038	0.0079187	0.018494	0.531091	0.00727479	0.00923209	0.430481	0.00342658	0.5941680539186657839	0.290403	0.305308	0.137509	0.266781	0.296047	0.657475	1.07056	1.97592	1.0529035914824209641
60	-3280.2003072008265008	-3298.1411004340911859	17.940793233264429318	1.7151512183813020229	0.404389	0.0489134	0.0796094	0.089942	0.0180668	0.0106607	0.0633559	0.155706	0.00501023	0.134864	0.0144493	0.0308467	0.0202138	0.0156917	0.56602	0.00513781	0.00646419	0.404502	0.00218399	0.54345538803649962034	0.293617	0.283257	0.127442	0.295684	0.256729	0.620847	1.0609	2.06152	1.0760271502665474941
70	-3283.3126243633678314	-3302.0255687767994459	18.7129444134313907	1.4070024441673654181	0.357768	0.0493413	0.0297969	0.0907518	0.0183109	0.0065743	0.0954722	0.180301	0.0253339	0.0732753	0.0069753	0.0562502	0.0139632	0.0269619	0.495218	0.00454831	0.00962814	0.457293	0.00635069	0.522700878760384402	0.292147	0.294474	0.135946	0.277433	0.210592	0.572308	1.04446	2.17264	1.0041141521869858533
80	-3290.611353525983759	-3306.7109171989650349	16.099563672981240359	1.2340082417224407241	0.458761	0.0886839	0.0582871	0.0773379	0.0159564	0.00826885	0.0938244	0.138942	0.0073681	0.246959	0.00309468	0.0408993	0.0243226	0.0169733	0.500257	0.00997263	0.0172193	0.452855	0.00272316	0.52966382773472597822	0.276613	0.302439	0.130895	0.290054	0.181162	0.53733	1.03006	2.25145	1.2627055717230109
90	-3282.4223169567862897	-3299.7560446071152001	17.333727650328786041	1.0649528197541064944	0.400053	0.0532068	0.0630983	0.100835	0.0148785	0.00980054	0.0968048	0.232104	0.00288595	0.103821	0.00272435	0.0399522	0.010093	0.013861	0.464344	0.00721676	0.015448	0.494708	0.00442172	0.52488211044338273226	0.320936	0.29009	0.136213	0.252761	0.149729	0.495441	1.00998	2.34485	1.1302577878828936608
