Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3281.4183504671236733	-3298.7179741055488194	17.299623638425352112	0.66896149458189679837	0.444489	0.0633888	0.0622917	0.0801537	0.0168025	0.0093883	0.0419982	0.186996	0.0296415	0.0127114	0.028432	0.0747906	0.0128296	0.0232086	0.485635	0.00241704	0.00618123	0.468139	0.0144192	0.41958777970140803681	0.307319	0.274646	0.145358	0.272677	0.0675747	0.34851	0.9128	2.67112	1.0639128794985914794
10	-3281.8370979107453422	-3298.5274949601853223	16.690397049440246491	0.62884832161226167369	0.363176	0.0558342	0.0601633	0.101664	0.0188972	0.0106817	0.0582888	0.259853	0.0221402	0.0252561	0.0383134	0.0906708	0.0058993	0.0224289	0.458943	0.00398995	0.00863611	0.50151	0.00449243	0.3272660475381519718	0.273803	0.303793	0.141354	0.281049	0.0591073	0.327933	0.895352	2.71761	1.1108381307496981716
20	-3288.286786337801459	-3307.2001717928092148	18.913385455007585279	1.0999816712541703456	0.40069	0.104387	0.040494	0.0748181	0.0143659	0.0107889	0.0489066	0.122866	0.0230274	0.00819623	0.0270947	0.0872311	0.0119492	0.0154656	0.508866	0.0170479	0.00648473	0.44598	0.00615555	0.50413365624293504652	0.303328	0.302651	0.122087	0.271934	0.15646	0.50487	1.01477	2.32389	0.97481496973882397761
30	-3293.9363236647532176	-3308.4850868396656551	14.548763174912298979	1.7959163122142485225	0.663523	0.0531145	0.0559998	0.0847891	0.0289091	0.00133433	0.0778366	0.264804	0.0238026	0.0404662	0.0289809	0.0818884	0.0069225	0.0064094	0.600932	0.00885672	0.00277644	0.361343	0.0196824	0.5781698319341289638	0.309251	0.326373	0.105886	0.25849	0.267633	0.631395	1.06393	2.03704	1.4123709048914570019
40	-3286.7077701647367576	-3303.2988214969391265	16.591051332202663815	3.7127267448126048954	0.401436	0.0547651	0.0521388	0.052145	0.0190222	0.00701409	0.0802566	0.154061	0.0291634	0.0243777	0.062962	0.143167	0.001231	0.0125284	0.556287	0.00618454	0.00889536	0.398362	0.0177425	0.61463783536902438787	0.311084	0.296965	0.132206	0.259745	0.437849	0.76465	1.08432	1.71318	1.0817405413037319839
50	-3288.9326758174875067	-3306.9925287197997932	18.059852902312499623	0.79574327954556844933	0.348727	0.0805506	0.0572022	0.0947679	0.0213321	0.00531915	0.082899	0.221002	0.00217589	0.0275394	0.0380151	0.0413008	0.000424134	0.0299525	0.483349	0.00705148	0.00337187	0.458576	0.0176983	0.49012898627763068493	0.291083	0.295455	0.128857	0.284605	0.0946526	0.405415	0.955768	2.54416	1.0212553636060104356
60	-3290.0658675645399853	-3307.3408699286942465	17.275002364154357082	2.4925589485604104922	0.372468	0.0532984	0.0655047	0.0720354	0.0115686	0.0142021	0.0750792	0.257137	0.00950449	0.0203793	0.053435	0.0695557	0.0274545	0.020708	0.500268	0.00532111	0.0167588	0.454	0.00294341	0.58475727507927532933	0.285221	0.306265	0.137746	0.270768	0.34575	0.6989	1.07854	1.87681	1.1016222846708876304
70	-3301.126699738451407	-3317.6724162049645201	16.545716466512860876	1.5140626296472654566	0.488517	0.0471507	0.105431	0.140211	0.020211	0.00973461	0.0844018	0.135338	0.0024245	0.0324613	0.0327937	0.107324	0.0141988	0.0242981	0.50743	0.0021154	0.0190675	0.445225	0.00186412	0.5483969774858382662	0.305567	0.306109	0.124223	0.264101	0.227487	0.590881	1.05124	2.1304	1.22019877104278196
80	-3283.4044258264320888	-3300.4066496421710326	17.002223815738954471	1.0763611639550620946	0.409873	0.0531943	0.0631846	0.119727	0.0228534	0.0103739	0.0650362	0.18267	0.00010819	0.00397583	0.0494055	0.163385	0.0204858	0.0109313	0.550246	0.00630872	0.00711623	0.422729	0.00266829	0.5322679805305075007	0.288423	0.319379	0.137944	0.254254	0.151933	0.498559	1.01158	2.33792	1.1642723777958565723
90	-3293.0387853920551606	-3308.9447386632555208	15.905953271200031551	3.3325578730595375454	0.483765	0.0703617	0.0646861	0.102991	0.0169303	0.0224197	0.0832669	0.150991	0.000321583	0.0213434	0.0507028	0.0987514	0.0121997	0.0118031	0.524791	0.0112422	0.0137527	0.42143	0.0169808	0.54837605406066425306	0.295151	0.314575	0.122641	0.267634	0.413458	0.748424	1.08373	1.75439	1.1787296594705709563
100	-3289.3773516767441834	-3306.9073916332072258	17.530039956462942996	2.9000056342150886124	0.37252	0.0447494	0.0238113	0.0706406	0.0185883	0.0255431	0.0472668	0.187394	0.0363739	0.036162	0.0397329	0.135151	0.0100624	0.0157841	0.502234	0.00352947	0.00789257	0.461378	0.00918087	0.57358258512644677563	0.290962	0.299085	0.121575	0.288379	0.381375	0.725837	1.08198	1.81081	1.0479959664778644157
110	-3284.6542744558610138	-3303.0148783433969584	18.360603887535802414	2.8071594074962966658	0.44433	0.046071	0.0589806	0.081421	0.0131402	0.0112058	0.0394317	0.0901018	0.0135848	0.000701159	0.0444081	0.118105	0.0100624	0.0159551	0.549574	0.00698393	0.0132643	0.394821	0.0194017	0.572393628910779384	0.298111	0.281557	0.13065	0.289683	0.373771	0.720259	1.08138	1.82459	0.97154416549907041123
120	-3284.254402697432397	-3298.9431584031112834	14.688755705679076513	0.63381342318814115622	0.567899	0.0615667	0.0631766	0.0879037	0.0219197	0.00279633	0.0466749	0.291987	0.0163473	0.00049519	0.0232999	0.104583	0.0241955	0.0155944	0.507322	0.00297194	0.0147017	0.453095	0.00631434	0.52383422164698800749	0.285719	0.307579	0.140454	0.266248	0.0601486	0.330554	0.897636	2.71166	1.3128440058717878447
130	-3292.6272591890792683	-3308.8908764774564588	16.263617288377020031	2.4506289635723588205	0.41143	0.0589458	0.103366	0.11887	0.0104168	0.0230646	0.0557133	0.14057	0.0269601	0.00238855	0.0489891	0.187961	0.0168229	0.0169778	0.559724	0.007561	0.00434958	0.397435	0.0139533	0.59925645434136076695	0.298733	0.322717	0.126298	0.252252	0.341725	0.695721	1.07804	1.88451	1.2054980975992082293
140	-3279.5941377344297507	-3298.8025134879708276	19.208375753541176323	1.7092803529043247845	0.355677	0.0574037	0.0517669	0.0790943	0.015198	0.00589026	0.0638707	0.1443	0.00884746	0.00336552	0.0437684	0.108769	0.0115065	0.0147959	0.50608	0.0068199	0.00716908	0.450893	0.0142425	0.5379190882458370071	0.301796	0.285834	0.135728	0.276641	0.255918	0.62005	1.06067	2.06336	0.9494573933795436016
150	-3283.0692036586838185	-3301.1579174446465004	18.088713785962433178	1.8793230758899728272	0.403916	0.0417845	0.0575306	0.0613745	0.0151223	0.00731387	0.0556877	0.18808	0.038037	0.00859708	0.0362495	0.113349	0.0279117	0.0175878	0.455626	0.0068854	0.00106709	0.496491	0.0223424	0.56722920115991581902	0.289518	0.308478	0.133873	0.268131	0.278431	0.641535	1.06665	2.01338	1.0549536579743066245
160	-3286.0671631349523523	-3303.3897985855228399	17.322635450570345483	0.91449949611908576408	0.418695	0.0568742	0.0817835	0.0928112	0.010567	0.00783485	0.0447928	0.191237	0.0224562	0.0151588	0.0197073	0.138869	0.0146296	0.0109215	0.480082	0.0143611	0.000812751	0.473145	0.020677	0.54340918628720125128	0.275992	0.309815	0.136498	0.277695	0.119594	0.449453	0.98425	2.4467	1.1154174122063604813
170	-3284.1870618487510001	-3302.8082805021240347	18.621218653373009744	1.0413441873990811892	0.409063	0.0484985	0.0539553	0.0479342	0.0228615	0.00310725	0.0561421	0.191733	0.0387064	0.0134582	0.032697	0.0681174	0.0133094	0.016479	0.527367	0.0141679	0.00556146	0.427213	0.00921114	0.50099271391403921161	0.283523	0.298788	0.133887	0.283802	0.145129	0.488836	1.00653	2.35951	0.99958304956165688893
180	-3284.8181814602162376	-3301.8401686047500334	17.021987144533859748	0.95908067846837530279	0.498511	0.0739895	0.0532155	0.0844271	0.0166396	0.00572207	0.0325421	0.222085	0.0360919	0.00967989	0.0515079	0.0461455	0.0206321	0.0135166	0.599065	0.00250131	0.0163691	0.364925	0.00362272	0.50011862526003092455	0.287769	0.314874	0.124705	0.272651	0.128719	0.464097	0.992875	2.41431	1.151188907854451049
190	-3285.9369916085570367	-3302.2579835556844046	16.320991947127517108	0.96525954060829577408	0.533908	0.0677968	0.0592853	0.0787147	0.0177422	0.0100139	0.102093	0.185649	0.0249225	0.0207058	0.0234444	0.0785684	0.0191645	0.0105112	0.562915	0.00843687	0.00422676	0.408696	0.00521408	0.52746242781344898631	0.289775	0.30339	0.118613	0.288222	0.129971	0.466055	0.993996	2.40998	1.2220080841165505969
200	-3280.5175124483180298	-3298.0413478208515698	17.523835372533611121	1.2583282233964834251	0.436325	0.0564036	0.0418277	0.0916733	0.0192692	0.0151988	0.0733815	0.216007	0.00953102	0.0231304	0.0292994	0.0863797	0.0225764	0.0208555	0.55106	0.00360264	0.000468526	0.413425	0.0105886	0.53225621592821914518	0.292261	0.307334	0.13371	0.266695	0.185464	0.542674	1.0324	2.23946	1.1210028298837253491
210	-3284.4540437099781229	-3301.433900649340103	16.979856939361891222	1.9135196317444567171	0.442285	0.0612698	0.0560446	0.107159	0.0263084	0.00679666	0.0755766	0.142384	0.00337102	0.0174684	0.0538723	0.159237	0.0125409	0.0194273	0.532169	0.00992061	0.000401903	0.430313	0.00776884	0.57526246365189825926	0.279378	0.302459	0.146051	0.272112	0.282728	0.645491	1.06767	2.00411	1.1643142116670204267
220	-3285.3255223175929132	-3304.9726760938465304	19.647153776253308166	1.377147735028419584	0.363003	0.0554407	0.0529673	0.046044	0.0179672	0.00469729	0.0633443	0.12014	0.0229463	0.00232626	0.0246817	0.120033	0.0169948	0.0207514	0.478244	0.00822578	0.000597968	0.472389	0.0197914	0.565996030113910642	0.290809	0.3198	0.142989	0.246402	0.205705	0.566743	1.04231	2.18524	0.91058528277107542159
